"0.0,0.0,0.0","0.0,1.0,0.0","0.0,2.0,0.0","0.0,3.0,0.0","0.0,4.0,0.0","0.0,5.0,0.0","0.0,6.0,0.0","0.0,7.0,0.0","0.0,8.0,0.0","0.0,9.0,0.0","1.0,0.0,0.0","1.0,1.0,0.0","1.0,2.0,0.0","1.0,3.0,0.0","1.0,4.0,0.0","1.0,5.0,0.0","1.0,6.0,0.0","1.0,7.0,0.0","1.0,8.0,0.0","1.0,9.0,0.0","2.0,0.0,0.0","2.0,1.0,0.0","2.0,2.0,0.0","2.0,3.0,0.0","2.0,4.0,0.0","2.0,5.0,0.0","2.0,6.0,0.0","2.0,7.0,0.0","2.0,8.0,0.0","2.0,9.0,0.0","3.0,0.0,0.0","3.0,1.0,0.0","3.0,2.0,0.0","3.0,3.0,0.0","3.0,4.0,0.0","3.0,5.0,0.0","3.0,6.0,0.0","3.0,7.0,0.0","3.0,8.0,0.0","3.0,9.0,0.0","4.0,0.0,0.0","4.0,1.0,0.0","4.0,2.0,0.0","4.0,3.0,0.0","4.0,4.0,0.0","4.0,5.0,0.0","4.0,6.0,0.0","4.0,7.0,0.0","4.0,8.0,0.0","4.0,9.0,0.0","5.0,0.0,0.0","5.0,1.0,0.0","5.0,2.0,0.0","5.0,3.0,0.0","5.0,4.0,0.0","5.0,5.0,0.0","5.0,6.0,0.0","5.0,7.0,0.0","5.0,8.0,0.0","5.0,9.0,0.0","6.0,0.0,0.0","6.0,1.0,0.0","6.0,2.0,0.0","6.0,3.0,0.0","6.0,4.0,0.0","6.0,5.0,0.0","6.0,6.0,0.0","6.0,7.0,0.0","6.0,8.0,0.0","6.0,9.0,0.0","7.0,0.0,0.0","7.0,1.0,0.0","7.0,2.0,0.0","7.0,3.0,0.0","7.0,4.0,0.0","7.0,5.0,0.0","7.0,6.0,0.0","7.0,7.0,0.0","7.0,8.0,0.0","7.0,9.0,0.0","8.0,0.0,0.0","8.0,1.0,0.0","8.0,2.0,0.0","8.0,3.0,0.0","8.0,4.0,0.0","8.0,5.0,0.0","8.0,6.0,0.0","8.0,7.0,0.0","8.0,8.0,0.0","8.0,9.0,0.0","9.0,0.0,0.0","9.0,1.0,0.0","9.0,2.0,0.0","9.0,3.0,0.0","9.0,4.0,0.0","9.0,5.0,0.0","9.0,6.0,0.0","9.0,7.0,0.0","9.0,8.0,0.0","9.0,9.0,0.0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.013539794124181983,-0.011994234106274534,-0.008919777804748695,-0.005710619293519441,-0.003242352900370876,-0.0016782107824333927,-0.0008098582174238628,-0.0003706914738043899,-0.00016300104323274472,-6.950283663889534e-05,-0.03678682612499834,-0.031709991652047645,-0.022202593965776247,-0.013163101555141946,-0.006901657759550542,-0.003315537380342725,-0.0014971896274825146,-0.0006468406569531416,-0.0002706192026086281,-0.00011055252811797965,-0.09991780991079824,-0.08252625853578205,-0.052940262769484894,-0.02837996337638785,-0.013539794124181983,-0.005996520830806975,-0.0025302578245980836,-0.0010335026809442896,-0.0004127152386804575,-0.0001621650843951222,-0.2712034194718907,-0.20773788252896108,-0.11666924676459389,-0.05500558795925836,-0.023641918781855085,-0.009655215084536853,-0.0038257109275164525,-0.001487251459522313,-0.0005708846808227468,-0.00021721050457448998,-0.7344559684399827,-0.4791912481675536,-0.2203652448722394,-0.09002104143296513,-0.035124709465302204,-0.013412823773477201,-0.005062489538952539,-0.0018974945386616361,-0.0007080259965135709,-0.00026338641772662776,-1.9420721840708386,-0.8282117402076301,-0.31010964992458323,-0.11483563125597829,-0.04239057436059519,-0.01562738485978354,-0.005757149958886207,-0.0021201022957553993,-0.0007805438768043943,-0.00028731921531791044,-1.6982120021884468,-0.7073064882033984,-0.2833467657050099,-0.10786869699676653,-0.04041225888466201,-0.015035291169974738,-0.005573627381371539,-0.0020617832450859326,-0.0007616631864954081,-0.0002811177624926999,-0.49331625655244316,-0.34908578832137704,-0.17536355291540193,-0.07581529195731487,-0.0306630724772638,-0.011994234106274534,-0.0046048979755772485,-0.001747935858913789,-0.000658587674645956,-0.00024688604325686644,-0.18192451028602882,-0.144466718729884,-0.08616864013145596,-0.0429037945555337,-0.019235264383194336,-0.008108424672371446,-0.003290933706268425,-0.0013033634637707985,-0.0005077108798111282,-0.00019548103914856287,-0.06700156562967463,-0.05643889371830431,-0.03765420320125148,-0.021083395479056414,-0.010463093919725988,-0.0047894836660782305,-0.0020761897613986897,-0.0008668703820329627,-0.000352465207827011,-0.0001405739181351196
-0.08796340118800568,-0.07214079581684643,-0.046388520369227214,-0.025039935006874948,-0.012040645534251333,-0.005371724863102655,-0.0022810428599287272,-0.0009367267875150584,-0.00037576681087141904,-0.00014821388930217442,-0.23853637956115356,-0.18165148368020612,-0.10287541847049264,-0.04904339243298382,-0.021283850269060583,-0.008759208077957159,-0.0034916749433479433,-0.001363897187897004,-0.0005255528111043873,-0.00020059296368493988,-0.6447022845305693,-0.42191080398296193,-0.19766379276471044,-0.08184359841452156,-0.032220324413264036,-0.012379440751950938,-0.004693143364410599,-0.0017649002677485963,-0.0006602462856760655,-0.0002461164016051089,-1.882822179150479,-0.7610640906736662,-0.2891889143730345,-0.10773300529075629,-0.03989723677601159,-0.014737811436751309,-0.005436882453749604,-0.002004155516765603,-0.0007384136913995116,-0.0002719720254873389,-1.7933315826311214,-0.7184577787647739,-0.27973827827865266,-0.10526758313498381,-0.03919612470580812,-0.0145277556539848,-0.005371724863102655,-0.001983437998649921,-0.0007317033837953376,-0.0002697671882742193,-0.5556328020205814,-0.3752897752688828,-0.18165148368020603,-0.07679632284492181,-0.0306353114527033,-0.011875372050333203,-0.004530499464570002,-0.001711726601549856,-0.0006426645122368587,-0.00024024700123666097,-0.2054083537488163,-0.1586770070040834,-0.09192050838039256,-0.044717666187040955,-0.01971210022306413,-0.008208053392723647,-0.00330121087697388,-0.0012984179392367585,-0.0005030594478277567,-0.00019285612987208987,-0.07572930788250751,-0.0625978468626573,-0.040856358347770835,-0.022415976306959903,-0.010938248972455234,-0.0049401551190495835,-0.0021188991403753104,-0.0008772702337902427,-0.0003542793583201214,-0.00014051606960232277,-0.027893279478267287,-0.023998606624591523,-0.016967125225706068,-0.01022350381425886,-0.005458805204980644,-0.002668915823057827,-0.0012244866169952942,-0.0005364323881177262,-0.0002271451179375953,-9.376145741853131e-05,-0.010269403993648313,-0.009070882046851433,-0.006782688195614145,-0.004391378523318628,-0.0025287855343013523,-0.001328521762308068,-0.000650413064018737,-0.0003017003450617852,-0.00013426760183606626,-5.786764504860847e-05
-0.5326980097078824,-0.4292984636335457,-0.22736942642128846,-0.10001238972629511,-0.04068344286596668,-0.015943545575339713,-0.00612367623922137,-0.0023240694061810443,-0.000875328758618652,-0.00032798548083419455,-1.770551750371122,-0.9274738690946089,-0.37665578806464495,-0.14339523587680042,-0.05366041945959303,-0.019942526590242697,-0.007386131571708935,-0.002730281297429376,-0.0010080246506092535,-0.0003718649435304902,-1.9185586535436918,-1.3061862178478973,-0.4016668289915252,-0.14966536512941403,-0.05540403380032448,-0.020457580022956327,-0.007544353173027377,-0.002780235404574113,-0.0010241180092355497,-0.0003771306034648603,-0.6834032886329572,-0.5326980097078824,-0.26576723631806515,-0.11226566629503092,-0.04452426084468604,-0.01715955878060732,-0.00651427606301068,-0.0024512631124175652,-0.0009172426776858974,-0.0003419375385695952,-0.2520098263433222,-0.2163068902615722,-0.13187119750833282,-0.06527746038206397,-0.028871083933897698,-0.012001147714759935,-0.004810780567820626,-0.00188530010663947,-0.0007279035984982887,-0.00027816741522085375,-0.09279950052050846,-0.0831938859323431,-0.057219455753988825,-0.0322725917134556,-0.015943545575339713,-0.007231776122994905,-0.0031029093226105924,-0.0012827656844366393,-0.0005168567794898753,-0.00020447506787073664,-0.03415708149629111,-0.03137819436150939,-0.023287042449121456,-0.014478392724959453,-0.007872852233044424,-0.0038863446053180647,-0.0017908898459835616,-0.0007856469759013424,-0.00033256461917616724,-0.000137105656563036,-0.012569861284258122,-0.01172824518977114,-0.009162384950888712,-0.00612367623922137,-0.0036023129981467734,-0.0019180185388463712,-0.0009464388893058772,-0.0004408725009311854,-0.00019657295707038082,-8.475439245039023e-05,-0.004625247608728502,-0.004362243288984791,-0.0035350885515603105,-0.0024954146646047324,-0.0015643081088956956,-0.0008890558867974356,-0.0004669583725860116,-0.00023036782293410772,-0.0001081553363592297,-4.882262683039124e-05,-0.0017018161988013932,-0.0016177396387819093,-0.0013473499340058688,-0.000992215635809635,-0.0006548912599361096,-0.000393431983526431,-0.00021843740011141355,-0.00011364029386664653,-5.6055246241112723e-05,-2.647433187560187e-05
-0.8253896145174086,-0.6560705844476532,-0.31677488185421404,-0.13047831889105846,-0.050919214697576334,-0.019414736697435663,-0.00731504087256635,-0.0027373365740866787,-0.0010199464690571515,-0.0003789531213803369,-1.964040974232942,-1.5739120141624499,-0.445531674140258,-0.1643982535109426,-0.060565644386531746,-0.0222995440973299,-0.008208053392723647,-0.0030207459780229096,-0.0011115910695020026,-0.00040902270712553764,-1.5285593627966494,-0.8614101756973361,-0.37528977526888285,-0.1467520336221842,-0.055658260003316744,-0.02085039411503394,-0.007763044036365422,-0.0028802933357818766,-0.0010663555605009709,-0.0003942255801731258,-0.43347281432819224,-0.3705960151567679,-0.20943893987248155,-0.09611128937191903,-0.04013438169610997,-0.015998925983239033,-0.006217748341584251,-0.002380032940290797,-0.0009022156701506192,-0.0003397678695190112,-0.16008172752368505,-0.14426691955830748,-0.09539585619677897,-0.050919214697576334,-0.0238721627240621,-0.01036193550767397,-0.004290273111306423,-0.0017233838669459367,-0.0006783686200068434,-0.00026327066792426377,-0.058999566108166784,-0.05459763532008558,-0.03966182260043765,-0.02374652483161251,-0.012379440751950938,-0.005871530076188204,-0.002611823987110099,-0.0011115910695020026,-0.000458576655470334,-0.00018496500314582904,-0.02172822225340626,-0.02042753365415458,-0.015767286532812435,-0.010269403993648313,-0.00584767054249925,-0.003009667333099428,-0.001437893812710551,-0.0006504130640187382,-0.00028252891393807506,-0.0001190500493748462,-0.007999050234160305,-0.0075994531529641205,-0.006116460577795386,-0.00424073021090304,-0.0025931048116200725,-0.0014331380797432641,-0.0007317033837953363,-0.0003513228147330277,-0.0001608528567010346,-7.097178323836269e-05,-0.002944165763697088,-0.002818003866615944,-0.0023382027791467156,-0.0017001588044077815,-0.00110096309135722,-0.0006465257888468937,-0.00035034340375847373,-0.0001778898335890697,-8.572276193797536e-05,-3.960897686068873e-05,-0.001083503514589322,-0.0010428600803584712,-0.0008854981533136392,-0.0006682328274281405,-0.00045333172169851276,-0.0002802290308207278,-0.0001600290356733143,-8.551626282855772e-05,-4.324808521005297e-05,-2.089816449038774e-05
-1.792148975887743,-1.5722761571129797,-0.4847635828381323,-0.1832768712180016,-0.06828348080498284,-0.025303704663297684,-0.00935278848030072,-0.0034521070288019147,-0.001273071930816773,-0.0004692200000603415,-1.792148975887743,-1.5722761571129797,-0.4847635828381323,-0.1832768712180016,-0.06828348080498284,-0.025303704663297684,-0.00935278848030072,-0.0034521070288019147,-0.001273071930816773,-0.0004692200000603415,-0.5825780098178945,-0.5300530026547464,-0.29231879396461147,-0.12937009927020635,-0.052538938190444244,-0.020528333144187314,-0.007861916021109321,-0.0029763006196372867,-0.0011186061517184827,-0.00041839086177452775,-0.21775578155191974,-0.20533381247898524,-0.135957470352343,-0.07113724452175996,-0.0325791806286307,-0.013850398720005395,-0.005637076167799933,-0.002233020680090988,-0.0008690269415412338,-0.00033411447743399766,-0.08066451887276099,-0.07731668477322558,-0.05673117006006138,-0.033707141239701754,-0.017302125154997256,-0.008066717837153443,-0.0035307691640798712,-0.0014813244484981856,-0.0006035755731580525,-0.00024086723902010955,-0.02978975941165703,-0.028819526977967084,-0.02252873682194946,-0.014664760341162599,-0.00827779945216423,-0.004207458972288649,-0.00198318057715998,-0.0008853947702292699,-0.0003799817565435603,-0.00015838008586651335,-0.01098609263513711,-0.01069182439279186,-0.008719716265935306,-0.006065606137035051,-0.0036943638600525543,-0.002024856205004458,-0.0010230631880720443,-0.00048578468289111536,-0.00021999275564537395,-9.606478087689757e-05,-0.004048469961730438,-0.0039564063475346,-0.0033254379798988033,-0.002431037156327218,-0.0015731166401914112,-0.0009191812064118471,-0.0004943109478927172,-0.000248750768573466,-0.00011874280668048425,-5.4353333024960574e-05,-0.0014912177287251542,-0.0014617601698336496,-0.0012565876555908015,-0.0009544251867436367,-0.0006483932827344922,-0.00039980259385017963,-0.00022712244077390916,-0.00012053177357089442,-6.0480303894107826e-05,-2.898622382450994e-05,-0.0005491149099896111,-0.0005395275474081231,-0.0004719364699331501,-0.0003694443109310646,-0.0002611173787445789,-0.00016846506261282852,-0.00010038547510923064,-5.588343332798671e-05,-2.9368718695355972e-05,-1.4704674316140469e-05
-1.7984359711335656,-1.6614378277661477,-0.515778941180086,-0.1942411286773866,-0.07222160881941735,-0.02673027503912614,-0.009872015284415276,-0.0036416328186561564,-0.0013423805488778477,-0.0004945980190046167,-1.7331439149307588,-1.5809475019311123,-0.5006277682589729,-0.19060797383742775,-0.07123496163190711,-0.02644300137577772,-0.00978461418163517,-0.0036142279366612193,-0.0013335971987276049,-0.0004917356597199163,-0.5483831489884745,-0.515778941180086,-0.2929753096287194,-0.13173510229248364,-0.05396052493565226,-0.021192202750671633,-0.008143373512293186,-0.003090059653889434,-0.0011633529957806017,-0.0004356968061523149,-0.20573180007705957,-0.19797047422438951,-0.1339352714392107,-0.07123496163190711,-0.032987309537219164,-0.01412915074897669,-0.0057805804748804574,-0.002298529176598406,-0.0008970585170835369,-0.0003456481576351858,-0.0763471836331608,-0.07424779449742044,-0.055359583317101675,-0.033363790570305536,-0.0173192426442853,-0.008143373512293186,-0.003587060158463797,-0.0015122383173017532,-0.0006184861187768509,-0.00024755023348744924,-0.02822496026777166,-0.027615172261734506,-0.021859462256977016,-0.01440085734400937,-0.008213802311932994,-0.0042107114863952,-0.001998347190503872,-0.0008970585170835384,-0.00038668270957681816,-0.0001617488788920354,-0.010416171335678438,-0.010230946106372983,-0.008429413797719328,-0.005923514527424245,-0.003641632818656153,-0.0020122497085853755,-0.0010237121638255247,-0.0004888917754495799,-0.0002224595852105995,-9.752952629861326e-05,-0.0038403092790621875,-0.0037822980371959654,-0.00320645753233784,-0.0023645618237694284,-0.0015428529337792583,-0.0009083277405096655,-0.0004917356597199163,-0.000248884558911416,-0.00011939534818320982,-5.4883597853053254e-05,-0.0014150525632196816,-0.0013964757523707155,-0.001209347259105482,-0.0009255314421930002,-0.0006334313619197974,-0.00039329293948218026,-0.0002248374238087382,-0.00011999199088125938,-6.050853811839087e-05,-2.912583928330814e-05,-0.0005212130831994986,-0.0005151632195760516,-0.00045354348899827074,-0.00035742603201252093,-0.0002543020923626786,-0.00016511180939057159,-9.897039424382363e-05,-5.5393870205835826e-05,-2.9253397129444553e-05,-1.4710738279828854e-05
-1.7984359711335656,-1.6614378277661477,-0.515778941180086,-0.1942411286773866,-0.07222160881941735,-0.02673027503912614,-0.009872015284415276,-0.0036416328186561564,-0.0013423805488778477,-0.0004945980190046167,-1.7331439149307588,-1.5809475019311123,-0.5006277682589729,-0.19060797383742775,-0.07123496163190711,-0.02644300137577772,-0.00978461418163517,-0.0036142279366612193,-0.0013335971987276049,-0.0004917356597199163,-0.5483831489884745,-0.515778941180086,-0.2929753096287194,-0.13173510229248364,-0.05396052493565226,-0.021192202750671633,-0.008143373512293186,-0.003090059653889434,-0.0011633529957806017,-0.0004356968061523149,-0.20573180007705957,-0.19797047422438951,-0.1339352714392107,-0.07123496163190711,-0.032987309537219164,-0.01412915074897669,-0.0057805804748804574,-0.002298529176598406,-0.0008970585170835369,-0.0003456481576351858,-0.0763471836331608,-0.07424779449742044,-0.055359583317101675,-0.033363790570305536,-0.0173192426442853,-0.008143373512293186,-0.003587060158463797,-0.0015122383173017532,-0.0006184861187768509,-0.00024755023348744924,-0.02822496026777166,-0.027615172261734506,-0.021859462256977016,-0.01440085734400937,-0.008213802311932994,-0.0042107114863952,-0.001998347190503872,-0.0008970585170835384,-0.00038668270957681816,-0.0001617488788920354,-0.010416171335678438,-0.010230946106372983,-0.008429413797719328,-0.005923514527424245,-0.003641632818656153,-0.0020122497085853755,-0.0010237121638255247,-0.0004888917754495799,-0.0002224595852105995,-9.752952629861326e-05,-0.0038403092790621875,-0.0037822980371959654,-0.00320645753233784,-0.0023645618237694284,-0.0015428529337792583,-0.0009083277405096655,-0.0004917356597199163,-0.000248884558911416,-0.00011939534818320982,-5.4883597853053254e-05,-0.0014150525632196816,-0.0013964757523707155,-0.001209347259105482,-0.0009255314421930002,-0.0006334313619197974,-0.00039329293948218026,-0.0002248374238087382,-0.00011999199088125938,-6.050853811839087e-05,-2.912583928330814e-05,-0.0005212130831994986,-0.0005151632195760516,-0.00045354348899827074,-0.00035742603201252093,-0.0002543020923626786,-0.00016511180939057159,-9.897039424382363e-05,-5.5393870205835826e-05,-2.9253397129444553e-05,-1.4710738279828854e-05
-1.4987484335815,-1.4458138625031751,-0.5022966090591443,-0.19651371965726552,-0.07436391137201359,-0.027800199581859343,-0.010333493657232155,-0.0038289899731538527,-0.0014161057913133247,-0.0005230816932330407,-1.8359126748650243,-1.8054501846793505,-0.5771825286231678,-0.21439587248762965,-0.0792054096994156,-0.02920694802546815,-0.010760861549095512,-0.003962847493561459,-0.001458971942394721,-0.0005370419589830834,-0.6972533259293118,-0.6846426721550407,-0.37240431814857033,-0.16063057962285981,-0.06402384416817147,-0.024693958604615294,-0.009370327538554532,-0.00352314203602173,-0.0013171952007138175,-0.0004906314694147153,-0.26605321087076156,-0.26321312566616833,-0.17572394744033243,-0.09083478321200582,-0.040950782157301885,-0.017168030623289404,-0.006908157626272208,-0.0027115687778170344,-0.001047470461275063,-0.00040028429048673167,-0.09933400787260921,-0.09858726049827615,-0.0733398339164557,-0.04348384610560671,-0.022113332178625815,-0.010195509412220033,-0.004415149423624435,-0.0018348904357761572,-0.0007415405339880039,-0.00029385371480094533,-0.036834957943002934,-0.03662163091268169,-0.029046421453791778,-0.01896798885813003,-0.010664115448305818,-0.005380089869387743,-0.0025142288403965625,-0.0011129722712602571,-0.00047388265698965817,-0.00019610967722218813,-0.013618269011401922,-0.013554167498067092,-0.011209256275940719,-0.007842610887817379,-0.004774875955652514,-0.002606074868637958,-0.0013085979404728223,-0.0006170593951327376,-0.0002774870971998988,-0.0001203590532737566,-0.005026896882281185,-0.00500697242886273,-0.004263561216818114,-0.0031386358025207264,-0.0020349001559234626,-0.0011869610677962112,-0.0006357553481810738,-0.00031824374677631105,-0.0001510314054412104,-6.872302223843409e-05,-0.0018538506302138397,-0.0018475059217890318,-0.001607430307656382,-0.00123001306853304,-0.0008384027209444302,-0.0005170076187754161,-0.0002930505112456262,-0.00015493976984609745,-7.738842769865062e-05,-3.6903788279907477e-05,-0.0006832691409682272,-0.0006812117547480998,-0.0006025452055821026,-0.00047525374807033926,-0.00033730863502642427,-0.00021791684055104526,-0.00012974530964652856,-7.205465068815838e-05,-3.7737094487622683e-05,-1.8817765631950603e-05
-0.5012757118228847,-0.5578271696034105,-0.35375591601736484,-0.1662434101404717,-0.06935398146890033,-0.027478319887340102,-0.010609549243308345,-0.0040374091104434726,-0.001522810853363808,-0.0005710321705383007,-1.4918078893226498,-1.7693341276714558,-0.6475128283116623,-0.24928255537796576,-0.09346373808865537,-0.03474113507254129,-0.012863924908494249,-0.004753528905298225,-0.001754415645729146,-0.0006470102724441848,-1.584700778176325,-1.8317902379807063,-0.6707691788684607,-0.2545779989995954,-0.09486381415119102,-0.03514238288893137,-0.012984742583631147,-0.004791136171698772,-0.0017664038746400387,-0.0006509008111806764,-0.5491333585774145,-0.6150965016880285,-0.38128389978616306,-0.17550358634953692,-0.07226517134660217,-0.028393575463605637,-0.010901138757306233,-0.00413165444081547,-0.0015536685595073795,-0.0005812481210432132,-0.21410598614176218,-0.22958955267546327,-0.1677398364883927,-0.09277374517668364,-0.043711314278262546,-0.018859720756261626,-0.0077382445588719696,-0.003079681982924349,-0.0012018812626963075,-0.0004628880114543648,-0.0808295636532743,-0.08498553959057752,-0.06749578973464344,-0.042412867903066837,-0.022562551421554024,-0.010754177173341036,-0.004772289655488486,-0.0020198554096109737,-0.0008277518005516328,-0.00033160863911382816,-0.030170136929017106,-0.03137160188416866,-0.026171799648486854,-0.017939157898169127,-0.010514405592649517,-0.005486353127919357,-0.002633068095863626,-0.00119027453518974,-0.000515294718423719,-0.00021611281258414021,-0.011202241623369427,-0.011566043395289308,-0.009964222832943723,-0.007261194247968081,-0.004588468205966579,-0.0025861247191904563,-0.001333980107567567,-0.0006431457566742208,-0.00029454843998341943,-0.0001297004938129617,-0.004147607615945753,-0.0042612923594547445,-0.0037549185726442483,-0.002861964072184878,-0.0019177707583071973,-0.00115248983172569,-0.0006335970451469995,-0.00032433891737090463,-0.00015688038916037366,-7.254578663122127e-05,-0.0015330188865380018,-0.0015693628708946623,-0.0014061358462941938,-0.001108923265647543,-0.0007783639748869061,-0.0004932897673632894,-0.0002866042529955983,-0.00015488527983569165,-7.885683391295749e-05,-3.8235135745467597e-05
